"Reg.Metropolit/RIDE de notific";"Ign/Branco";"Analfabeto";"1 a 4 serie incompleta do EF";"4 serie completa do EF";"5 a 8 serie incompleta do EF";"Ensino fundamental completo";"Ensino medio incompleto";"Ensino medio completo";"Educacao superior incompleta";"Educacao superior completa";"Nao se aplica";"Total"
"35010 Sao Paulo - SP";941;8;47;25;78;56;84;279;36;154;164;1872
"35020 Baixada Santista - SP";230;1;8;9;13;14;13;38;9;14;53;402
"35030 Campinas - SP";629;5;47;30;695;46;78;152;20;97;107;1906
"35041 V.Paraiba/Lit Nort 1 -SP";188;-;1;1;5;4;6;25;6;11;47;294
"35042 V.Paraiba/Lit Nort 2 -SP";64;-;8;6;2;6;3;39;7;14;19;168
"35043 V.Paraiba/Lit Nort 3 -SP";34;-;1;2;3;5;-;22;-;6;9;82
"35044 V.Paraiba/Lit Nort 4 -SP";14;-;-;-;-;1;1;4;-;-;1;21
"35045 V.Paraiba/Lit Nort 5 -SP";60;1;9;3;12;10;22;33;3;16;23;192
"35050 Jundiaa - SP";64;-;3;2;-;-;4;3;-;5;10;91
"35060 Piracicaba - SP";44;5;27;12;40;24;21;92;9;26;13;313
"35070 Sorocaba - SP";125;1;34;19;59;41;44;169;27;52;23;594
"35900 Fora de Reg.Metrop. - SP";2930;66;659;442;1009;718;1084;3007;442;1289;616;12262
"Total";5323;87;844;551;1916;925;1360;3863;559;1684;1085;18197

 
