"Reg.Metropolit/RIDE de notific";"Ign/Branco";"Analfabeto";"1 a 4 serie incompleta do EF";"4 serie completa do EF";"5 a 8 serie incompleta do EF";"Ensino fundamental completo";"Ensino medio incompleto";"Ensino medio completo";"Educacao superior incompleta";"Educacao superior completa";"Nao se aplica";"Total"
"35010 Sao Paulo - SP";14157;190;1171;712;1734;1160;1859;4813;764;1308;1094;28962
"35020 Baixada Santista - SP";3685;6;104;59;192;98;192;725;51;119;645;5876
"35030 Campinas - SP";6674;13;137;82;334;117;171;471;85;142;571;8797
"35041 V.Paraiba/Lit Nort 1 -SP";1603;5;36;19;51;26;41;156;30;80;217;2264
"35042 V.Paraiba/Lit Nort 2 -SP";1059;5;183;104;336;199;374;1526;117;261;314;4478
"35043 V.Paraiba/Lit Nort 3 -SP";232;-;11;5;7;6;17;35;7;12;16;348
"35044 V.Paraiba/Lit Nort 4 -SP";78;-;13;9;17;9;11;18;4;9;5;173
"35045 V.Paraiba/Lit Nort 5 -SP";455;2;15;4;20;10;25;76;9;19;38;673
"35050 Jundiai - SP";745;1;15;4;14;9;11;38;6;14;54;911
"35060 Piracicaba - SP";1622;11;128;93;219;163;239;874;51;141;212;3753
"35070 Sorocaba - SP";1591;25;246;191;416;252;380;1011;112;366;188;4778
"35900 Fora de Reg.Metrop. - SP";67378;688;6494;3807;9912;5316;8607;22208;3113;7307;6296;141126
"Total";99279;946;8553;5089;13252;7365;11927;31951;4349;9778;9650;202139

 
