"Reg.Metropolit/RIDE de notific";"Ign/Branco";"Analfabeto";"1 a 4 serie incompleta do EF";"4 serie completa do EF";"5 a 8 serie incompleta do EF";"Ensino fundamental completo";"Ensino medio incompleto";"Ensino medio completo";"Educacao superior incompleta";"Educacao superior completa";"Nao se aplica";"Total"
"35010 Sao Paulo - SP";1895;12;145;76;216;150;233;811;122;318;299;4277
"35020 Baixada Santista - SP";1499;6;93;51;196;76;143;426;56;132;375;3053
"35030 Campinas - SP";6553;19;214;119;334;242;314;1342;164;331;469;10101
"35041 V.Paraiba/Lit Nort 1 -SP";536;1;26;16;41;26;61;279;18;60;131;1195
"35042 V.Paraiba/Lit Nort 2 -SP";1092;14;167;133;321;273;371;1432;149;377;237;4566
"35043 V.Paraiba/Lit Nort 3 -SP";8247;10;169;127;376;225;394;1681;133;396;530;12288
"35044 V.Paraiba/Lit Nort 4 -SP";3555;4;62;58;94;55;115;554;55;148;200;4900
"35045 V.Paraiba/Lit Nort 5 -SP";988;5;41;25;56;58;95;254;41;88;133;1784
"35050 Jundiai - SP";255;-;7;1;4;5;11;34;4;15;24;360
"35060 Piracicaba - SP";5402;38;313;276;462;355;405;1514;171;601;470;10007
"35070 Sorocaba - SP";1840;20;134;100;364;162;311;918;69;165;337;4420
"35900 Fora de Reg.Metrop. - SP";46336;938;7710;5253;11992;8045;11556;38824;3931;12049;7624;154258
"Total";78198;1067;9081;6235;14456;9672;14009;48069;4913;14680;10829;211209

 
